년도별 산불통계,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계
2023,04,02,15:29,일,2023,04,03,14:10,전북,전북,고창,상하,송곡,,기타(직접입력),농산폐기물소각추정,4
2023,04,02,15:24,일,2023,04,02,18:05,강원,강원,철원,동송,오지,기,기타(직접입력),전기합선,0.7
2023,04,02,15:03,일,2023,04,02,19:00,강원,강원,원주,지정,안창,기,기타(직접입력),불씨취급부주의,1
2023,04,02,15:03,일,2023,04,03,00:15,충남,충남,부여,세도,동사,담,기타(직접입력),담뱃불실화추정,24.04
2023,04,02,14:51,일,2023,04,02,16:59,북부,경기,연천,백학,길현,기,기타(직접입력),조명지뢰불발,1
2023,04,02,14:47,일,2023,04,02,17:02,경북,경북,성주,용암,대봉,기,기타(직접입력),조사중,0.5
2023,04,02,14:45,일,2023,04,02,16:30,전북,전북,김제,금구,청운,담,기타(직접입력),담뱃불실화추정,0.05
2023,04,02,14:10,일,2023,04,02,14:38,경기,경기,시흥,,거모,기,기타(직접입력),성묘객실화,0.03
2023,04,02,13:46,일,2023,04,03,16:00,충남,충남,보령,청라,내현,,농산폐기물소각,농산폐기물소각추정,97.43
2023,04,02,13:11,일,2023,04,02,17:50,충남,충남,서산,성연,일람,쓰,기타(직접입력),쓰레기소각,4
2023,04,02,12:24,일,2023,04,04,17:00,충남,충남,금산,복수,신대,입,기타(직접입력),입산자실화추정,889.36
2023,04,02,12:10,일,2023,04,02,13:35,충북,충북,제천,청풍,도화,기,기타(직접입력),성묘객실화,0.2
2023,04,02,12:10,일,2023,04,02,16:30,경기,경기,양평,옥천,신복,기,기타(직접입력),주택내취사행위발화,1.5
2023,04,02,11:56,일,2023,04,02,17:45,경기,경기,남양주,와부,율석,기,기타(직접입력),성묘객실화,3.86
2023,04,02,11:53,일,2023,04,04,09:00,서울,서울,종로,,부암,기,기타(직접입력),미상,6
2023,04,02,11:48,일,2023,04,03,01:00,경북,경북,군위,소보,보현,기,작업장실화,용접실화,35
2023,04,02,11:23,일,2023,04,03,18:00,충북,충북,옥천,군북,이평,기,기타(직접입력),조사중,85.37
2023,04,02,11:19,일,2023,04,02,20:27,충남,충남,당진,대호지,사성,기,기타(직접입력),조사중,98.54
2023,04,02,11:14,일,2023,04,02,13:20,경북,경북,포항 북,송라,중산,기,기타(직접입력),차량화재,0.1
